date,temp_max,temp_min,weather
2024-01-01,12.5,4.4,晴れ
2024-01-02,9.2,2.8,晴れ
2024-01-03,11.0,2.8,曇り
2024-01-04,15.3,6.3,晴れ
2024-01-05,13.6,2.9,晴れ
2024-01-06,15.6,3.0,晴れ
2024-01-07,12.7,5.7,晴れ
2024-01-08,10.2,2.7,晴れ
2024-01-09,11.0,1.5,晴れ
2024-01-10,12.3,1.7,晴れ
2024-01-11,7.2,1.8,曇り
2024-01-12,13.7,0.1,晴れ
2024-01-13,11.7,1.2,晴れ
2024-01-14,10.5,0.2,晴れ
2024-01-15,11.4,2.4,晴れ
2024-01-16,7.0,0.0,晴れ
2024-01-17,12.2,0.8,晴れ
2024-01-18,13.4,2.5,晴れ
2024-01-19,15.1,7.6,晴れ
2024-01-20,7.6,4.6,曇り
2024-01-21,12.1,4.6,晴れ
2024-01-22,14.6,6.7,晴れ
2024-01-23,13.9,5.5,晴れ
2024-01-24,8.4,1.1,晴れ
2024-01-25,9.6,-1.1,晴れ
2024-01-26,12.0,1.8,晴れ
2024-01-27,12.2,2.9,晴れ
2024-01-28,9.6,2.8,曇り
2024-01-29,11.9,2.4,晴れ
2024-01-30,13.3,4.0,晴れ
2024-01-31,14.1,2.7,晴れ
2024-02-01,16.3,5.0,晴れ
2024-02-02,7.6,3.3,曇り
2024-02-03,11.7,3.4,晴れ
2024-02-04,6.9,2.6,曇り
2024-02-05,6.2,0.3,曇り
2024-02-06,5.4,0.8,曇り
2024-02-07,9.6,-0.1,晴れ
2024-02-08,11.3,1.2,晴れ
2024-02-09,11.3,2.5,晴れ
2024-02-10,12.4,1.8,晴れ
2024-02-11,12.8,4.3,晴れ
2024-02-12,12.7,3.6,晴れ
2024-02-13,17.3,1.6,晴れ
2024-02-14,18.5,4.2,晴れ
2024-02-15,21.1,6.1,晴れ
2024-02-16,17.0,6.2,晴れ
2024-02-17,13.6,4.6,曇り
2024-02-18,18.8,9.2,晴れ
2024-02-19,17.2,12.8,曇り
2024-02-20,23.7,12.8,晴れ
2024-02-21,13.2,7.3,雨
2024-02-22,8.0,3.6,曇り
2024-02-23,4.0,1.7,雨
2024-02-24,10.3,1.2,晴れ
2024-02-25,5.8,3.5,曇り
2024-02-26,13.3,4.8,晴れ
2024-02-27,11.4,4.1,晴れ
