日付,商品名,カテゴリー,販売商品数,売上,曜日,祝日,最高気温,最低気温,天気,休日フラグ,特異日フラグ,月,季節,イベント有無,長期休みの種類,長期休みフラグ,前週同曜日_売上,売上_移動平均7日,恒常メニュー,シーズンメニュー,商品数
2024-01-01,STY  国産つぶつぶいちごミルクヨーグルト,期間限定スムージー,39.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,0,1,39.0
2024-01-01,13 LLS搾りたてレモンライムソーダ,ソーダ,1.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,1.0
2024-01-01,07 OP果実たっぷりオレンジパイン,スムージー,4.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,4.0
2024-01-01,14 PGS搾りたてピンクグレープフルーツソーダ,ソーダ,5.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,5.0
2024-01-01,11 KIWIごろごろキウイ,スムージー,5.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,5.0
2024-01-01,05 KBケールバナナ,スムージー,6.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,6.0
2024-01-01,04 MIXトロピカルマンゴーミックス,スムージー,4.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,4.0
2024-01-01,08 KOPつぶつぶキウイオレンジパイン,スムージー,8.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,8.0
2024-01-01,06 ACAIアサイースムージー,スムージー,7.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,7.0
2024-01-01,SS 東京サンセットソーダ,店舗限定,12.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,12.0
2024-01-01,01 PBA金の房プレミアムバナナミルク,スムージー,21.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,21.0
2024-01-01,02 BA完熟バナナミルク,スムージー,25.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,25.0
2024-01-01,03 STBAつぶつぶいちごバナナミルク,スムージー,23.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,23.0
2024-01-01,MK100 愛媛みかん100%生絞りジュース,期間限定100%,30.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,0,1,30.0
2024-01-01,12 LMNゴクゴクレモネードソーダ,ソーダ,9.0,174255.0,Monday,1,12.5,4.4,晴れ,1,1,1.0,冬,無,冬休み,1,156530.3,174255.0,1,0,9.0
2024-01-02,09 BOCベリーベリーオレンジココナッツ,スムージー,4.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,4.0
2024-01-02,14 PGS搾りたてピンクグレープフルーツソーダ,ソーダ,5.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,5.0
2024-01-02,05 KBケールバナナ,スムージー,1.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,1.0
2024-01-02,07 OP果実たっぷりオレンジパイン,スムージー,6.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,6.0
2024-01-02,08 KOPつぶつぶキウイオレンジパイン,スムージー,1.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,1.0
2024-01-02,13 LLS搾りたてレモンライムソーダ,ソーダ,7.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,7.0
2024-01-02,11 KIWIごろごろキウイ,スムージー,9.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,9.0
2024-01-02,MK100 愛媛みかん100%生絞りジュース,期間限定100%,46.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,0,1,46.0
2024-01-02,STY  国産つぶつぶいちごミルクヨーグルト,期間限定スムージー,35.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,0,1,35.0
2024-01-02,03 STBAつぶつぶいちごバナナミルク,スムージー,33.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,33.0
2024-01-02,01 PBA金の房プレミアムバナナミルク,スムージー,30.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,30.0
2024-01-02,06 ACAIアサイースムージー,スムージー,5.0,203546.0,Tuesday,0,9.2,2.8,晴れ,1,0,1.0,冬,無,冬休み,1,156530.3,188900.5,1,0,5.0
